,State,Medicaid_Expanded,Total_Enrollment,Latitude,Longitude,Tot_Medicaid_Enroll,Tot_CHIP_Enroll,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Injury_Deaths_Rank,Injury_Deaths_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Year,Uninsured_Rank,Uninsured_Value
35,New Hampshire,Y,189811.0,47.5362,-99.79299999999999,174766.0,15045.0,5.0,0.547,22.0,188.1,7.0,217.0,5.0,82.9,4.0,87.9,12.0,9.0,39.0,33.2,45.0,24.4,8.0,29.2,17.0,35.7,5.0,78.0,1.0,4.2,28.0,71.3,10.0,26.6,16.0,6572.0,15.0,160.6,4.0,6.4,1.0,2.8,2017,14.0,6.1
36,South Dakota,N,112386.0,18.2766,-66.335,95978.0,16408.0,26.0,0.043,19.0,184.7,23.0,233.9,42.0,74.0,32.0,76.0,4.0,7.9,2.0,18.8,3.0,7.5,15.0,29.9,5.0,33.3,27.0,70.4,33.0,6.6,32.0,74.1,23.0,29.6,29.0,7627.0,38.0,125.8,1.0,5.2,1.0,2.8,2017,32.0,9.5
37,Kentucky,Y,1272976.0,38.5111,-96.8005,1186467.0,86509.0,39.0,-0.22899999999999998,50.0,233.6,44.0,296.4,31.0,76.5,22.0,79.6,46.0,13.1,5.0,20.3,49.0,25.5,45.0,39.0,48.0,40.7,16.0,74.5,38.0,6.9,43.0,85.4,44.0,34.2,47.0,10042.0,40.0,120.6,28.0,9.7,26.0,4.9,2017,9.0,5.6
38,New Mexico,Y,743780.0,43.4108,-71.5653,733332.0,10448.0,36.0,-0.196,4.0,169.0,10.0,219.2,47.0,72.1,46.0,70.1,39.0,11.6,29.0,30.0,47.0,24.9,18.0,30.0,9.0,34.3,36.0,68.5,15.0,5.2,49.0,100.6,18.0,28.3,41.0,8913.0,28.0,136.6,49.0,12.6,50.0,6.8,2017,37.0,10.1
39,North Dakota,Y,93983.0,46.9048,-110.3261,91975.0,2008.0,22.0,0.166,10.0,179.6,13.0,228.7,48.0,71.8,38.0,73.9,9.0,8.6,16.0,26.3,1.0,5.7,20.0,30.4,11.0,35.0,37.0,68.2,27.0,6.1,18.0,66.8,36.0,31.9,24.0,7225.0,25.0,140.5,2.0,6.2,4.0,3.3,2017,21.0,7.4
40,Kansas,N,389441.0,39.8647,-86.2604,338264.0,51177.0,25.0,0.057,28.0,194.3,29.0,253.5,41.0,74.1,30.0,77.6,16.0,9.4,37.0,31.7,10.0,11.8,27.0,31.6,34.0,37.4,10.0,76.4,27.0,6.1,24.0,69.6,29.0,31.2,26.0,7380.0,31.0,133.3,17.0,8.2,17.0,4.2,2017,28.0,8.9
41,Florida,N,3814637.0,39.3498,-75.5148,3615126.0,199511.0,32.0,-0.155,14.0,182.1,14.0,229.0,15.0,79.7,45.0,72.0,40.0,11.8,23.0,28.7,20.0,14.1,35.0,33.5,37.0,38.0,41.0,67.1,29.0,6.2,16.0,65.4,14.0,27.4,27.0,7412.0,32.0,131.6,34.0,10.3,26.0,4.9,2017,46.0,12.9
42,Colorado,Y,1357645.0,36.17,-119.7462,1281784.0,75861.0,9.0,0.406,2.0,160.9,2.0,203.0,24.0,77.7,37.0,74.4,1.0,6.6,42.0,33.7,28.0,16.0,2.0,25.7,1.0,31.5,10.0,76.4,8.0,4.7,36.0,76.5,1.0,22.3,9.0,6113.0,26.0,139.9,7.0,7.3,4.0,3.3,2017,22.0,7.8
43,Nevada,Y,638420.0,40.314,-74.5089,598215.0,40205.0,35.0,-0.195,23.0,189.7,40.0,285.0,37.0,74.7,47.0,69.2,31.0,11.1,20.0,27.8,42.0,20.8,5.0,28.3,28.0,36.7,24.0,71.9,18.0,5.3,29.0,72.0,8.0,25.8,30.0,7729.0,46.0,107.9,48.0,12.2,44.0,5.9,2017,44.0,11.9
44,Missouri,N,957642.0,45.7326,-93.9196,928136.0,29506.0,41.0,-0.273,41.0,209.0,41.0,288.6,34.0,75.6,28.0,77.9,37.0,11.5,30.0,30.1,30.0,17.6,36.0,34.1,32.0,37.1,43.0,66.9,30.0,6.3,37.0,77.1,34.0,31.7,40.0,8558.0,16.0,160.4,12.0,7.8,21.0,4.4,2017,31.0,9.4
45,Louisiana,Y,1455541.0,37.669000000000004,-84.6514,1332411.0,123130.0,49.0,-0.687,46.0,218.2,46.0,316.2,24.0,77.7,35.0,75.4,42.0,12.1,4.0,19.9,32.0,17.7,46.0,39.3,46.0,39.2,44.0,66.8,45.0,7.6,41.0,81.4,46.0,35.5,46.0,10003.0,33.0,131.1,41.0,10.7,48.0,6.2,2017,42.0,11.1
46,Rhode Island,Y,312705.0,44.5672,-122.1269,283382.0,29323.0,7.0,0.45899999999999996,34.0,197.5,19.0,232.0,8.0,81.4,5.0,87.2,19.0,9.8,42.0,33.7,47.0,24.9,29.0,32.4,14.0,35.2,14.0,75.5,10.0,5.0,20.0,67.4,10.0,26.6,15.0,6516.0,1.0,256.3,32.0,10.1,37.0,5.4,2017,6.0,5.0
47,Delaware,Y,247948.0,38.8964,-77.0262,236609.0,11339.0,28.0,-0.009000000000000001,33.0,197.2,28.0,250.7,9.0,81.2,13.0,83.2,27.0,10.6,48.0,35.8,40.0,20.0,39.0,34.5,44.0,39.1,4.0,78.1,48.0,7.9,19.0,67.1,27.0,30.7,32.0,7871.0,18.0,156.7,18.0,8.3,20.0,4.3,2017,11.0,5.8
48,Oklahoma,N,734277.0,42.1497,-74.9384,619767.0,114510.0,43.0,-0.326,45.0,216.9,48.0,335.2,40.0,74.3,36.0,75.3,41.0,12.0,9.0,24.3,41.0,20.3,41.0,36.2,37.0,38.0,42.0,67.0,47.0,7.7,48.0,93.5,42.0,32.8,44.0,9951.0,35.0,127.5,24.0,9.2,34.0,5.1,2017,48.0,13.9
49,Connecticut,Y,836906.0,39.0646,-105.3272,818543.0,18363.0,4.0,0.564,8.0,173.7,9.0,218.4,4.0,83.3,7.0,85.2,19.0,9.8,40.0,33.5,36.0,18.4,20.0,30.4,34.0,37.4,12.0,75.7,15.0,5.2,8.0,57.4,9.0,26.0,4.0,5771.0,4.0,209.4,42.0,10.8,35.0,5.2,2017,7.0,5.5
